#,Category,Answerability,Reason,5 Example Question Intents,Question Category Label,Revised Answerability (Data-backed)
240,Knowledge scaffolding,Answer,Pedagogical,"scaffold learning, layered understanding",knowledge_scaffold,Answer
241,Source transparency,Answer,Trust requirement,"sources used, textual basis, reference origin, authority sources, citations",source_transparency,Answer
242,Authority declaration,Answer,Trust clarity,"who decides answers, authority basis, source legitimacy, canon authority",authority_declaration,Answer
243,Confidence disclosure,Answer,Honest AI behavior,"confidence level, certainty indication, unsure areas, reliability signal",confidence_disclosure,Answer
244,Explicit vs inferred clarification,Answer,Trust discipline,"explicit vs inferred, text vs interpretation, stated vs implied",explicit_inferred,Answer
245,Refusal reasoning,Answer,User trust,"why refusal, reason for no answer, scope explanation",refusal_reasoning,Answer
246,Scope explanation,Answer,Product clarity,"what app covers, scope limits, domain boundary",scope_explanation,Answer
247,Accuracy assurance,Answer,Trust expectation,"how accuracy ensured, validation method, correctness process",accuracy_assurance,Answer
248,Error acknowledgement,Answer,Trust repair,"mistake handling, correction policy, error response",error_acknowledgement,Answer
249,Answer limitations,Answer,Honest framing,"limits of answer, uncertainty disclosure, partial knowledge",answer_limitations,Answer
250,Methodology explanation,Answer,Transparency,"how answers formed, process explanation, reasoning method",methodology_explanation,Answer
251,Classification explanation,Answer,System clarity,"question classification, routing logic, category assignment",classification_explanation,Answer
252,Bias avoidance explanation,Answer,Trust safeguard,"bias control, neutrality process, fairness policy",bias_avoidance,Answer
253,Interpretive policy explanation,Answer,Consistency,"interpretation rules, policy basis, hermeneutic limits",interpretive_policy,Answer with Constraints
254,Why ambiguity exists,Answer,Education,"ambiguity cause, textual uncertainty, interpretive limits",ambiguity_explanation,Answer with Constraints
255,How to ask better questions,Answer,User guidance,"rephrasing advice, better queries, scope alignment",question_guidance,Answer
256,System boundaries,Answer,Guardrail clarity,"system limits, refusal zones, boundary conditions",system_boundaries,Answer
257,Trust philosophy,Answer,Product principle,"trust-first approach, design philosophy, care principle",trust_philosophy,Answer
258,Ethical guardrails,Answer,Safety,"ethical limits, safeguard rules, boundary enforcement",ethical_guardrails,Answer
259,Safety policies,Answer,Compliance,"safety rules, abuse prevention, moderation",safety_policies,Answer
260,Product scope limitations,Answer,Clarity,"what is excluded, non-goals, limits",product_limits,Answer
261,Modern political framing,Do Not Answer,Anachronistic,"political ideology, modern politics, governance debates",modern_politics,Do Not Answer
262,Modern gender ideology,Do Not Answer,Anachronistic,"gender ideology, modern gender lens, social activism",modern_gender,Do Not Answer
263,Contemporary moral judgment,Do Not Answer,Misrepresents text,"modern ethics, today’s standards, presentism",modern_morality,Answer
264,Psychological diagnosis,Do Not Answer,Speculative,"mental disorders, psychology labels, diagnosis",psychological_diagnosis,Do Not Answer
265,Psychiatric labeling,Do Not Answer,Speculative,"clinical labels, psychiatric terms, pathology",psychiatric_label,Do Not Answer
266,Modern self-help application,Do Not Answer,Not product role,"self-help tips, life hacks, personal coaching",self_help,Do Not Answer
267,Productivity optimization,Do Not Answer,Modern overlay,"productivity hacks, efficiency advice, optimization",productivity,Do Not Answer
268,Leadership hacks,Do Not Answer,Modern framing,"leadership tricks, management advice, hacks",leadership_hacks,Do Not Answer
269,Life coaching prescriptions,Do Not Answer,Prescriptive,"personal advice, coaching plans, directives",life_coaching,Do Not Answer
270,Historical proof claims,Do Not Answer,Controversial,"historical proof, factual existence, evidence claims",historicity_claim,Do Not Answer
271,Archaeological validation,Do Not Answer,Outside scope,"archaeological evidence, excavation proof",archaeology,Do Not Answer
272,Scientific verification,Do Not Answer,Outside scope,"scientific testing, empirical proof",scientific_verification,Do Not Answer
273,Comparative religion supremacy,Do Not Answer,Conflict risk,"superiority claims, religious ranking",religion_supremacy,Do Not Answer
274,Inter-religious polemics,Do Not Answer,Conflict risk,"debate attacks, polemical questions",religious_polemics,Do Not Answer
275,Fan-fiction speculation,Do Not Answer,Non-canonical,"what-if scenarios, alternate history",fan_fiction,Do Not Answer
276,Counterfactual narratives,Do Not Answer,Speculative,"alternative outcomes, hypothetical changes",counterfactual,Do Not Answer
277,Modernized retellings,Do Not Answer,Distortion,"modern setting, reimagined story",modern_retelling,Do Not Answer
278,Devotional persuasion,Do Not Answer,Neutral stance,"conversion persuasion, devotional push",devotional_persuasion,Answer
279,Hate justification,Do Not Answer,Safety,"violence justification, hatred",hate_justification,Do Not Answer
280,Incitement or abuse,Do Not Answer,Safety,"harm encouragement, abuse",incitement,Do Not Answer
281,Political mobilization,Do Not Answer,Safety,"political rallying, mobilization",political_mobilization,Do Not Answer
282,Extremist ideology,Do Not Answer,Safety,"extremist framing, radical ideology",extremist_content,Do Not Answer
283,Defamation,Do Not Answer,Safety,"false allegations, character attacks",defamation,Do Not Answer
284,Harassment targeting,Do Not Answer,Safety,"harassment, targeting individuals",harassment,Do Not Answer
285,Malicious prompt manipulation,Do Not Answer,Safety,"prompt hacking, system bypass",prompt_attack,Do Not Answer
